SAMPLE OF RETRACTION INFORMATION - 02/15/2022
----------------------------------------------------
experiment_id,number_of_retractions,overflow_status
historical,16509,{"r101i1p1f1": 21| "r102i1p1f1": 17| "r103i1p1f1": 15| "r104i1p1f1": 15| "r105i1p1f1": 15| "r106i1p1f1": 15| "r107i1p1f1": 15| "r108i1p1f1": 15| "r109i1p1f1": 15| "r10i1p1f1": 369| "r10i1p1f2": 56| "r10i1p2f1": 58| "r10i2p1f1": 1508| "r110i1p1f1": 15| "r111i1p1f1": 15| "r112i1p1f1": 15| "r113i1p1f1": 15| "r114i1p1f1": 15| "r115i1p1f1": 15| "r116i1p1f1": 15| "r117i1p1f1": 15| "r118i1p1f1": 15| "r119i1p1f1": 15| "r11i1p1f1": 420| "r11i1p1f2": 40| "r11i1p2f1": 1| "r120i1p1f1": 15| "r121i1p1f1": 15| "r122i1p1f1": 15| "r123i1p1f1": 15| "r124i1p1f1": 15| "r125i1p1f1": 15| "r126i1p1f1": 15| "r127i1p1f1": 15| "r128i1p1f1": 15| "r129i1p1f1": 15| "r12i1p1f1": 127| "r12i1p1f2": 40| "r12i1p2f1": 1| "r130i1p1f1": 15| "r131i1p1f1": 15| "r132i1p1f1": 15| "r133i1p1f1": 15| "r134i1p1f1": 15| "r135i1p1f1": 15| "r136i1p1f1": 15| "r137i1p1f1": 15| "r138i1p1f1": 15| "r139i1p1f1": 15| "r13i1p1f1": 390| "r13i1p1f2": 7| "r13i1p2f1": 1| "r140i1p1f1": 15| "r141i1p1f1": 15| "r142i1p1f1": 15| "r143i1p1f1": 15| "r144i1p1f1": 15| "r145i1p1f1": 15| "r146i1p1f1": 15| "r147i1p1f1": 15| "r148i1p1f1": 15| "r149i1p1f1": 15| "r14i1p1f1": 128| "r14i1p1f2": 3| "r14i1p2f1": 1| "r150i1p1f1": 15| "r15i1p1f1": 390| "r15i1p1f2": 3| "r15i1p2f1": 1| "r16i1p1f1": 128| "r16i1p1f2": 40| "r16i1p2f1": 1| "r17i1p1f1": 128| "r17i1p1f2": 51| "r17i1p2f1": 1| "r18i1p1f1": 128| "r18i1p1f2": 51| "r18i1p2f1": 1| "r19i1p1f1": 128| "r19i1p1f2": 51| "r19i1p2f1": 1| "r1i1p1f1": 3321| "r1i1p1f2": 101| "r1i1p1f3": 61| "r1i1p2f1": 58| "r1i2p1f1": 170| "r20i1p1f1": 128| "r20i1p1f2": 3| "r20i1p2f1": 1| "r21i1p1f1": 120| "r21i1p1f2": 3| "r21i1p2f1": 1| "r22i1p1f1": 293| "r22i1p1f2": 3| "r22i1p2f1": 1| "r23i1p1f1": 120| "r23i1p1f2": 3| "r23i1p2f1": 1| "r24i1p1f1": 120| "r24i1p1f2": 3| "r24i1p2f1": 1| "r25i1p1f1": 120| "r25i1p1f2": 3| "r25i1p2f1": 1| "r26i1p1f1": 13| "r26i1p1f2": 3| "r27i1p1f1": 118| "r27i1p1f2": 3| "r28i1p1f1": 118| "r28i1p1f2": 3| "r29i1p1f1": 118| "r29i1p1f2": 327| "r2i1p1f1": 2216| "r2i1p1f2": 59| "r2i1p1f3": 62| "r2i1p2f1": 58| "r30i1p1f1": 118| "r30i1p1f2": 3| "r31i1p1f1": 116| "r32i1p1f1": 1| "r3i1p1f1": 2103| "r3i1p1f2": 59| "r3i1p1f3": 48| "r3i1p2f1": 58| "r4i1p1f1": 2369| "r4i1p1f2": 77| "r4i1p1f3": 50| "r4i1p2f1": 58| "r5i1p1f1": 1169| "r5i1p1f2": 35| "r5i1p1f3": 49| "r5i1p2f1": 58| "r6i1p1f1": 1004| "r6i1p1f2": 12| "r6i1p1f3": 49| "r6i1p2f1": 58| "r6i2p1f1": 1508| "r7i1p1f1": 330| "r7i1p1f2": 36| "r7i1p1f3": 49| "r7i1p2f1": 58| "r7i2p1f1": 1508| "r8i1p1f1": 403| "r8i1p1f2": 92| "r8i1p2f1": 58| "r8i2p1f1": 1508| "r9i1p1f1": 629| "r9i1p1f2": 65| "r9i1p2f1": 58| "r9i2p1f1": 1508}
land-cCO2,291,no_overflow
land-cClim,289,no_overflow
land-hist,340,no_overflow
land-hist-altLu1,9,no_overflow
land-hist-altLu2,9,no_overflow
land-hist-altStartYear,289,no_overflow
land-hist-cruNcep,21,no_overflow
land-hist-princeton,3,no_overflow
land-noFire,9,no_overflow
