SAMPLE OF RETRACTION INFORMATION - 02/15/2022
----------------------------------------------------
experiment_id,number_of_retractions,overflow_status
piSST-pdSIC,9400,{"r100i1p1f1": 94| "r101i1p1f1": 21| "r102i1p1f1": 17| "r103i1p1f1": 15| "r104i1p1f1": 15| "r105i1p1f1": 15| "r106i1p1f1": 15| "r107i1p1f1": 15| "r108i1p1f1": 15| "r109i1p1f1": 15| "r10i1p1f1": 463| "r10i1p1f2": 56| "r10i1p2f1": 58| "r10i2p1f1": 1508| "r110i1p1f1": 15| "r111i1p1f1": 15| "r112i1p1f1": 15| "r113i1p1f1": 15| "r114i1p1f1": 15| "r115i1p1f1": 15| "r116i1p1f1": 15| "r117i1p1f1": 15| "r118i1p1f1": 15| "r119i1p1f1": 15| "r11i1p1f1": 514| "r11i1p1f2": 40| "r11i1p2f1": 1| "r120i1p1f1": 15| "r121i1p1f1": 15| "r122i1p1f1": 15| "r123i1p1f1": 15| "r124i1p1f1": 15| "r125i1p1f1": 15| "r126i1p1f1": 15| "r127i1p1f1": 15| "r128i1p1f1": 15| "r129i1p1f1": 15| "r12i1p1f1": 221| "r12i1p1f2": 40| "r12i1p2f1": 1| "r130i1p1f1": 15| "r131i1p1f1": 15| "r132i1p1f1": 15| "r133i1p1f1": 15| "r134i1p1f1": 15| "r135i1p1f1": 15| "r136i1p1f1": 15| "r137i1p1f1": 15| "r138i1p1f1": 15| "r139i1p1f1": 15| "r13i1p1f1": 484| "r13i1p1f2": 7| "r13i1p2f1": 1| "r140i1p1f1": 15| "r141i1p1f1": 15| "r142i1p1f1": 15| "r143i1p1f1": 15| "r144i1p1f1": 15| "r145i1p1f1": 15| "r146i1p1f1": 15| "r147i1p1f1": 15| "r148i1p1f1": 15| "r149i1p1f1": 15| "r14i1p1f1": 222| "r14i1p1f2": 3| "r14i1p2f1": 1| "r150i1p1f1": 15| "r15i1p1f1": 484| "r15i1p1f2": 3| "r15i1p2f1": 1| "r16i1p1f1": 222| "r16i1p1f2": 40| "r16i1p2f1": 1| "r17i1p1f1": 222| "r17i1p1f2": 51| "r17i1p2f1": 1| "r18i1p1f1": 222| "r18i1p1f2": 51| "r18i1p2f1": 1| "r19i1p1f1": 222| "r19i1p1f2": 51| "r19i1p2f1": 1| "r1i1p1f1": 3415| "r1i1p1f2": 101| "r1i1p1f3": 61| "r1i1p2f1": 58| "r1i2p1f1": 170| "r20i1p1f1": 222| "r20i1p1f2": 3| "r20i1p2f1": 1| "r21i1p1f1": 214| "r21i1p1f2": 3| "r21i1p2f1": 1| "r22i1p1f1": 387| "r22i1p1f2": 3| "r22i1p2f1": 1| "r23i1p1f1": 214| "r23i1p1f2": 3| "r23i1p2f1": 1| "r24i1p1f1": 214| "r24i1p1f2": 3| "r24i1p2f1": 1| "r25i1p1f1": 214| "r25i1p1f2": 3| "r25i1p2f1": 1| "r26i1p1f1": 107| "r26i1p1f2": 3| "r27i1p1f1": 212| "r27i1p1f2": 3| "r28i1p1f1": 212| "r28i1p1f2": 3| "r29i1p1f1": 212| "r29i1p1f2": 327| "r2i1p1f1": 2310| "r2i1p1f2": 59| "r2i1p1f3": 62| "r2i1p2f1": 58| "r30i1p1f1": 212| "r30i1p1f2": 3| "r31i1p1f1": 210| "r32i1p1f1": 95| "r33i1p1f1": 94| "r34i1p1f1": 94| "r35i1p1f1": 94| "r36i1p1f1": 94| "r37i1p1f1": 94| "r38i1p1f1": 94| "r39i1p1f1": 94| "r3i1p1f1": 2197| "r3i1p1f2": 59| "r3i1p1f3": 48| "r3i1p2f1": 58| "r40i1p1f1": 94| "r41i1p1f1": 94| "r42i1p1f1": 94| "r43i1p1f1": 94| "r44i1p1f1": 94| "r45i1p1f1": 94| "r46i1p1f1": 94| "r47i1p1f1": 94| "r48i1p1f1": 94| "r49i1p1f1": 94| "r4i1p1f1": 2463| "r4i1p1f2": 77| "r4i1p1f3": 50| "r4i1p2f1": 58| "r50i1p1f1": 94| "r51i1p1f1": 94| "r52i1p1f1": 94| "r53i1p1f1": 94| "r54i1p1f1": 94| "r55i1p1f1": 94| "r56i1p1f1": 94| "r57i1p1f1": 94| "r58i1p1f1": 94| "r59i1p1f1": 94| "r5i1p1f1": 1263| "r5i1p1f2": 35| "r5i1p1f3": 49| "r5i1p2f1": 58| "r60i1p1f1": 94| "r61i1p1f1": 94| "r62i1p1f1": 94| "r63i1p1f1": 94| "r64i1p1f1": 94| "r65i1p1f1": 94| "r66i1p1f1": 94| "r67i1p1f1": 94| "r68i1p1f1": 94| "r69i1p1f1": 94| "r6i1p1f1": 1098| "r6i1p1f2": 12| "r6i1p1f3": 49| "r6i1p2f1": 58| "r6i2p1f1": 1508| "r70i1p1f1": 94| "r71i1p1f1": 94| "r72i1p1f1": 94| "r73i1p1f1": 94| "r74i1p1f1": 94| "r75i1p1f1": 94| "r76i1p1f1": 94| "r77i1p1f1": 94| "r78i1p1f1": 94| "r79i1p1f1": 94| "r7i1p1f1": 424| "r7i1p1f2": 36| "r7i1p1f3": 49| "r7i1p2f1": 58| "r7i2p1f1": 1508| "r80i1p1f1": 94| "r81i1p1f1": 94| "r82i1p1f1": 94| "r83i1p1f1": 94| "r84i1p1f1": 94| "r85i1p1f1": 94| "r86i1p1f1": 94| "r87i1p1f1": 94| "r88i1p1f1": 94| "r89i1p1f1": 94| "r8i1p1f1": 497| "r8i1p1f2": 92| "r8i1p2f1": 58| "r8i2p1f1": 1508| "r90i1p1f1": 94| "r91i1p1f1": 94| "r92i1p1f1": 94| "r93i1p1f1": 94| "r94i1p1f1": 94| "r95i1p1f1": 94| "r96i1p1f1": 94| "r97i1p1f1": 94| "r98i1p1f1": 94| "r99i1p1f1": 94| "r9i1p1f1": 723| "r9i1p1f2": 65| "r9i1p2f1": 58| "r9i2p1f1": 1508}
piSST-piSIC,100,no_overflow
spinup-1950,18,no_overflow
ssp119,3477,no_overflow
ssp126,9187,{"r100i1p1f1": 94| "r101i1p1f1": 21| "r102i1p1f1": 17| "r103i1p1f1": 15| "r104i1p1f1": 15| "r105i1p1f1": 15| "r106i1p1f1": 15| "r107i1p1f1": 15| "r108i1p1f1": 15| "r109i1p1f1": 15| "r10i1p1f1": 617| "r10i1p1f2": 72| "r10i1p2f1": 59| "r10i2p1f1": 1508| "r110i1p1f1": 15| "r111i1p1f1": 15| "r112i1p1f1": 15| "r113i1p1f1": 15| "r114i1p1f1": 15| "r115i1p1f1": 15| "r116i1p1f1": 15| "r117i1p1f1": 15| "r118i1p1f1": 15| "r119i1p1f1": 15| "r11i1p1f1": 749| "r11i1p1f2": 56| "r11i1p2f1": 4| "r120i1p1f1": 15| "r121i1p1f1": 15| "r122i1p1f1": 15| "r123i1p1f1": 15| "r124i1p1f1": 15| "r125i1p1f1": 15| "r126i1p1f1": 15| "r127i1p1f1": 15| "r128i1p1f1": 15| "r129i1p1f1": 15| "r12i1p1f1": 224| "r12i1p1f2": 56| "r12i1p2f1": 4| "r130i1p1f1": 15| "r131i1p1f1": 15| "r132i1p1f1": 15| "r133i1p1f1": 15| "r134i1p1f1": 15| "r135i1p1f1": 15| "r136i1p1f1": 15| "r137i1p1f1": 15| "r138i1p1f1": 15| "r139i1p1f1": 15| "r13i1p1f1": 719| "r13i1p1f2": 7| "r13i1p2f1": 4| "r140i1p1f1": 15| "r141i1p1f1": 15| "r142i1p1f1": 15| "r143i1p1f1": 15| "r144i1p1f1": 15| "r145i1p1f1": 15| "r146i1p1f1": 15| "r147i1p1f1": 15| "r148i1p1f1": 15| "r149i1p1f1": 15| "r14i1p1f1": 226| "r14i1p1f2": 3| "r14i1p2f1": 4| "r150i1p1f1": 15| "r15i1p1f1": 719| "r15i1p1f2": 3| "r15i1p2f1": 4| "r16i1p1f1": 225| "r16i1p1f2": 56| "r16i1p2f1": 4| "r17i1p1f1": 225| "r17i1p1f2": 67| "r17i1p2f1": 4| "r18i1p1f1": 225| "r18i1p1f2": 67| "r18i1p2f1": 4| "r19i1p1f1": 225| "r19i1p1f2": 67| "r19i1p2f1": 4| "r1i1p1f1": 7229| "r1i1p1f2": 165| "r1i1p1f3": 98| "r1i1p2f1": 87| "r1i2p1f1": 170| "r20i1p1f1": 225| "r20i1p1f2": 3| "r20i1p2f1": 4| "r21i1p1f1": 217| "r21i1p1f2": 3| "r21i1p2f1": 4| "r22i1p1f1": 390| "r22i1p1f2": 3| "r22i1p2f1": 4| "r23i1p1f1": 217| "r23i1p1f2": 3| "r23i1p2f1": 4| "r24i1p1f1": 217| "r24i1p1f2": 3| "r24i1p2f1": 4| "r25i1p1f1": 217| "r25i1p1f2": 3| "r25i1p2f1": 4| "r26i1p1f1": 107| "r26i1p1f2": 3| "r27i1p1f1": 212| "r27i1p1f2": 3| "r28i1p1f1": 212| "r28i1p1f2": 3| "r29i1p1f1": 212| "r29i1p1f2": 327| "r2i1p1f1": 3779| "r2i1p1f2": 103| "r2i1p1f3": 62| "r2i1p2f1": 87| "r30i1p1f1": 212| "r30i1p1f2": 3| "r31i1p1f1": 210| "r32i1p1f1": 95| "r33i1p1f1": 94| "r34i1p1f1": 94| "r35i1p1f1": 94| "r36i1p1f1": 94| "r37i1p1f1": 94| "r38i1p1f1": 94| "r39i1p1f1": 94| "r3i1p1f1": 2774| "r3i1p1f2": 103| "r3i1p1f3": 48| "r3i1p2f1": 87| "r40i1p1f1": 94| "r41i1p1f1": 94| "r42i1p1f1": 94| "r43i1p1f1": 94| "r44i1p1f1": 94| "r45i1p1f1": 94| "r46i1p1f1": 94| "r47i1p1f1": 94| "r48i1p1f1": 94| "r49i1p1f1": 94| "r4i1p1f1": 3114| "r4i1p1f2": 119| "r4i1p1f3": 50| "r4i1p2f1": 75| "r50i1p1f1": 94| "r51i1p1f1": 94| "r52i1p1f1": 94| "r53i1p1f1": 94| "r54i1p1f1": 94| "r55i1p1f1": 94| "r56i1p1f1": 94| "r57i1p1f1": 94| "r58i1p1f1": 94| "r59i1p1f1": 94| "r5i1p1f1": 1417| "r5i1p1f2": 36| "r5i1p1f3": 49| "r5i1p2f1": 75| "r60i1p1f1": 94| "r61i1p1f1": 94| "r62i1p1f1": 94| "r63i1p1f1": 94| "r64i1p1f1": 94| "r65i1p1f1": 94| "r66i1p1f1": 94| "r67i1p1f1": 94| "r68i1p1f1": 94| "r69i1p1f1": 94| "r6i1p1f1": 1473| "r6i1p1f2": 13| "r6i1p1f3": 49| "r6i1p2f1": 59| "r6i2p1f1": 1508| "r70i1p1f1": 94| "r71i1p1f1": 94| "r72i1p1f1": 94| "r73i1p1f1": 94| "r74i1p1f1": 94| "r75i1p1f1": 94| "r76i1p1f1": 94| "r77i1p1f1": 94| "r78i1p1f1": 94| "r79i1p1f1": 94| "r7i1p1f1": 578| "r7i1p1f2": 36| "r7i1p1f3": 49| "r7i1p2f1": 59| "r7i2p1f1": 1508| "r80i1p1f1": 94| "r81i1p1f1": 94| "r82i1p1f1": 94| "r83i1p1f1": 94| "r84i1p1f1": 94| "r85i1p1f1": 94| "r86i1p1f1": 94| "r87i1p1f1": 94| "r88i1p1f1": 94| "r89i1p1f1": 94| "r8i1p1f1": 651| "r8i1p1f2": 133| "r8i1p2f1": 59| "r8i2p1f1": 1508| "r90i1p1f1": 94| "r91i1p1f1": 94| "r92i1p1f1": 94| "r93i1p1f1": 94| "r94i1p1f1": 94| "r95i1p1f1": 94| "r96i1p1f1": 94| "r97i1p1f1": 94| "r98i1p1f1": 94| "r99i1p1f1": 94| "r9i1p1f1": 1109| "r9i1p1f2": 65| "r9i1p2f1": 59| "r9i2p1f1": 1508}
ssp126-ssp370Lu,1350,no_overflow
ssp245,15187,{"r100i1p1f1": 94| "r101i1p1f1": 21| "r102i1p1f1": 17| "r103i1p1f1": 15| "r104i1p1f1": 15| "r105i1p1f1": 15| "r106i1p1f1": 15| "r107i1p1f1": 15| "r108i1p1f1": 15| "r109i1p1f1": 15| "r10i1p1f1": 772| "r10i1p1f2": 73| "r10i1p2f1": 60| "r10i2p1f1": 1508| "r110i1p1f1": 15| "r111i1p1f1": 15| "r112i1p1f1": 15| "r113i1p1f1": 15| "r114i1p1f1": 15| "r115i1p1f1": 15| "r116i1p1f1": 15| "r117i1p1f1": 15| "r118i1p1f1": 15| "r119i1p1f1": 15| "r11i1p1f1": 978| "r11i1p1f2": 56| "r11i1p2f1": 7| "r120i1p1f1": 15| "r121i1p1f1": 15| "r122i1p1f1": 15| "r123i1p1f1": 15| "r124i1p1f1": 15| "r125i1p1f1": 15| "r126i1p1f1": 15| "r127i1p1f1": 15| "r128i1p1f1": 15| "r129i1p1f1": 15| "r12i1p1f1": 227| "r12i1p1f2": 56| "r12i1p2f1": 7| "r130i1p1f1": 15| "r131i1p1f1": 15| "r132i1p1f1": 15| "r133i1p1f1": 15| "r134i1p1f1": 15| "r135i1p1f1": 15| "r136i1p1f1": 15| "r137i1p1f1": 15| "r138i1p1f1": 15| "r139i1p1f1": 15| "r13i1p1f1": 948| "r13i1p1f2": 7| "r13i1p2f1": 7| "r140i1p1f1": 15| "r141i1p1f1": 15| "r142i1p1f1": 15| "r143i1p1f1": 15| "r144i1p1f1": 15| "r145i1p1f1": 15| "r146i1p1f1": 15| "r147i1p1f1": 15| "r148i1p1f1": 15| "r149i1p1f1": 15| "r14i1p1f1": 231| "r14i1p1f2": 3| "r14i1p2f1": 7| "r150i1p1f1": 15| "r15i1p1f1": 947| "r15i1p1f2": 3| "r15i1p2f1": 7| "r16i1p1f1": 229| "r16i1p1f2": 93| "r16i1p2f1": 7| "r17i1p1f1": 229| "r17i1p1f2": 67| "r17i1p2f1": 7| "r18i1p1f1": 228| "r18i1p1f2": 67| "r18i1p2f1": 7| "r19i1p1f1": 229| "r19i1p1f2": 67| "r19i1p2f1": 7| "r1i1p1f1": 9751| "r1i1p1f2": 240| "r1i1p1f3": 137| "r1i1p2f1": 116| "r1i2p1f1": 170| "r20i1p1f1": 229| "r20i1p1f2": 3| "r20i1p2f1": 7| "r21i1p1f1": 312| "r21i1p1f2": 3| "r21i1p2f1": 7| "r22i1p1f1": 700| "r22i1p1f2": 3| "r22i1p2f1": 7| "r23i1p1f1": 312| "r23i1p1f2": 3| "r23i1p2f1": 7| "r24i1p1f1": 311| "r24i1p1f2": 3| "r24i1p2f1": 7| "r25i1p1f1": 311| "r25i1p1f2": 3| "r25i1p2f1": 7| "r26i1p1f1": 199| "r26i1p1f2": 3| "r27i1p1f1": 303| "r27i1p1f2": 3| "r28i1p1f1": 303| "r28i1p1f2": 3| "r29i1p1f1": 303| "r29i1p1f2": 327| "r2i1p1f1": 6899| "r2i1p1f2": 145| "r2i1p1f3": 101| "r2i1p2f1": 116| "r30i1p1f1": 303| "r30i1p1f2": 3| "r31i1p1f1": 301| "r32i1p1f1": 186| "r33i1p1f1": 185| "r34i1p1f1": 185| "r35i1p1f1": 185| "r36i1p1f1": 185| "r37i1p1f1": 185| "r38i1p1f1": 185| "r39i1p1f1": 185| "r3i1p1f1": 4910| "r3i1p1f2": 111| "r3i1p1f3": 87| "r3i1p2f1": 115| "r40i1p1f1": 185| "r41i1p1f1": 185| "r42i1p1f1": 185| "r43i1p1f1": 185| "r44i1p1f1": 185| "r45i1p1f1": 185| "r46i1p1f1": 185| "r47i1p1f1": 185| "r48i1p1f1": 185| "r49i1p1f1": 185| "r4i1p1f1": 4368| "r4i1p1f2": 127| "r4i1p1f3": 89| "r4i1p2f1": 92| "r50i1p1f1": 185| "r51i1p1f1": 94| "r52i1p1f1": 94| "r53i1p1f1": 94| "r54i1p1f1": 94| "r55i1p1f1": 94| "r56i1p1f1": 94| "r57i1p1f1": 94| "r58i1p1f1": 94| "r59i1p1f1": 94| "r5i1p1f1": 2176| "r5i1p1f2": 37| "r5i1p1f3": 49| "r5i1p2f1": 92| "r60i1p1f1": 94| "r61i1p1f1": 94| "r62i1p1f1": 94| "r63i1p1f1": 94| "r64i1p1f1": 94| "r65i1p1f1": 94| "r66i1p1f1": 94| "r67i1p1f1": 94| "r68i1p1f1": 94| "r69i1p1f1": 94| "r6i1p1f1": 1841| "r6i1p1f2": 14| "r6i1p1f3": 49| "r6i1p2f1": 60| "r6i2p1f1": 1508| "r70i1p1f1": 94| "r71i1p1f1": 94| "r72i1p1f1": 94| "r73i1p1f1": 94| "r74i1p1f1": 94| "r75i1p1f1": 94| "r76i1p1f1": 94| "r77i1p1f1": 94| "r78i1p1f1": 94| "r79i1p1f1": 94| "r7i1p1f1": 732| "r7i1p1f2": 37| "r7i1p1f3": 49| "r7i1p2f1": 60| "r7i2p1f1": 1508| "r80i1p1f1": 94| "r81i1p1f1": 94| "r82i1p1f1": 94| "r83i1p1f1": 94| "r84i1p1f1": 94| "r85i1p1f1": 94| "r86i1p1f1": 94| "r87i1p1f1": 94| "r88i1p1f1": 94| "r89i1p1f1": 94| "r8i1p1f1": 805| "r8i1p1f2": 141| "r8i1p2f1": 60| "r8i2p1f1": 1508| "r90i1p1f1": 94| "r91i1p1f1": 94| "r92i1p1f1": 94| "r93i1p1f1": 94| "r94i1p1f1": 94| "r95i1p1f1": 94| "r96i1p1f1": 94| "r97i1p1f1": 94| "r98i1p1f1": 94| "r99i1p1f1": 94| "r9i1p1f1": 1488| "r9i1p1f2": 66| "r9i1p2f1": 60| "r9i2p1f1": 1508}
ssp245-GHG,2963,no_overflow
ssp245-aer,2058,no_overflow
ssp245-cov-fossil,110,no_overflow
ssp245-cov-modgreen,110,no_overflow
ssp245-cov-strgreen,110,no_overflow
ssp245-covid,1500,no_overflow
ssp245-nat,3405,no_overflow
ssp245-stratO3,1195,no_overflow
ssp370,12043,{"r100i1p1f1": 94| "r101i1p1f1": 21| "r102i1p1f1": 17| "r103i1p1f1": 15| "r104i1p1f1": 15| "r105i1p1f1": 15| "r106i1p1f1": 15| "r107i1p1f1": 15| "r108i1p1f1": 15| "r109i1p1f1": 15| "r10i1p1f1": 943| "r10i1p1f2": 73| "r10i1p2f1": 61| "r10i2p1f1": 1508| "r110i1p1f1": 15| "r111i1p1f1": 15| "r112i1p1f1": 15| "r113i1p1f1": 15| "r114i1p1f1": 15| "r115i1p1f1": 15| "r116i1p1f1": 15| "r117i1p1f1": 15| "r118i1p1f1": 15| "r119i1p1f1": 15| "r11i1p1f1": 1206| "r11i1p1f2": 56| "r11i1p2f1": 10| "r120i1p1f1": 15| "r121i1p1f1": 15| "r122i1p1f1": 15| "r123i1p1f1": 15| "r124i1p1f1": 15| "r125i1p1f1": 15| "r126i1p1f1": 15| "r127i1p1f1": 15| "r128i1p1f1": 15| "r129i1p1f1": 15| "r12i1p1f1": 230| "r12i1p1f2": 56| "r12i1p2f1": 10| "r130i1p1f1": 15| "r131i1p1f1": 15| "r132i1p1f1": 15| "r133i1p1f1": 15| "r134i1p1f1": 15| "r135i1p1f1": 15| "r136i1p1f1": 15| "r137i1p1f1": 15| "r138i1p1f1": 15| "r139i1p1f1": 15| "r13i1p1f1": 1176| "r13i1p1f2": 7| "r13i1p2f1": 10| "r140i1p1f1": 15| "r141i1p1f1": 15| "r142i1p1f1": 15| "r143i1p1f1": 15| "r144i1p1f1": 15| "r145i1p1f1": 15| "r146i1p1f1": 15| "r147i1p1f1": 15| "r148i1p1f1": 15| "r149i1p1f1": 15| "r14i1p1f1": 235| "r14i1p1f2": 3| "r14i1p2f1": 10| "r150i1p1f1": 15| "r15i1p1f1": 1175| "r15i1p1f2": 3| "r15i1p2f1": 10| "r16i1p1f1": 232| "r16i1p1f2": 93| "r16i1p2f1": 10| "r17i1p1f1": 232| "r17i1p1f2": 67| "r17i1p2f1": 10| "r18i1p1f1": 231| "r18i1p1f2": 67| "r18i1p2f1": 10| "r19i1p1f1": 232| "r19i1p1f2": 67| "r19i1p2f1": 10| "r1i1p1f1": 12377| "r1i1p1f2": 977| "r1i1p1f3": 137| "r1i1p2f1": 145| "r1i2p1f1": 170| "r20i1p1f1": 232| "r20i1p1f2": 3| "r20i1p2f1": 10| "r21i1p1f1": 315| "r21i1p1f2": 3| "r21i1p2f1": 10| "r22i1p1f1": 703| "r22i1p1f2": 3| "r22i1p2f1": 10| "r23i1p1f1": 315| "r23i1p1f2": 3| "r23i1p2f1": 10| "r24i1p1f1": 314| "r24i1p1f2": 3| "r24i1p2f1": 10| "r25i1p1f1": 314| "r25i1p1f2": 3| "r25i1p2f1": 10| "r26i1p1f1": 199| "r26i1p1f2": 3| "r27i1p1f1": 303| "r27i1p1f2": 3| "r28i1p1f1": 303| "r28i1p1f2": 3| "r29i1p1f1": 303| "r29i1p1f2": 327| "r2i1p1f1": 8726| "r2i1p1f2": 203| "r2i1p1f3": 101| "r2i1p2f1": 145| "r30i1p1f1": 303| "r30i1p1f2": 3| "r31i1p1f1": 301| "r32i1p1f1": 186| "r33i1p1f1": 185| "r34i1p1f1": 185| "r35i1p1f1": 185| "r36i1p1f1": 185| "r37i1p1f1": 185| "r38i1p1f1": 185| "r39i1p1f1": 185| "r3i1p1f1": 6341| "r3i1p1f2": 169| "r3i1p1f3": 87| "r3i1p2f1": 144| "r40i1p1f1": 185| "r41i1p1f1": 185| "r42i1p1f1": 185| "r43i1p1f1": 185| "r44i1p1f1": 185| "r45i1p1f1": 185| "r46i1p1f1": 185| "r47i1p1f1": 185| "r48i1p1f1": 185| "r49i1p1f1": 185| "r4i1p1f1": 5871| "r4i1p1f2": 172| "r4i1p1f3": 89| "r4i1p2f1": 109| "r50i1p1f1": 185| "r51i1p1f1": 94| "r52i1p1f1": 94| "r53i1p1f1": 94| "r54i1p1f1": 94| "r55i1p1f1": 94| "r56i1p1f1": 94| "r57i1p1f1": 94| "r58i1p1f1": 94| "r59i1p1f1": 94| "r5i1p1f1": 3081| "r5i1p1f2": 38| "r5i1p1f3": 49| "r5i1p2f1": 109| "r60i1p1f1": 94| "r61i1p1f1": 94| "r62i1p1f1": 94| "r63i1p1f1": 94| "r64i1p1f1": 94| "r65i1p1f1": 94| "r66i1p1f1": 94| "r67i1p1f1": 94| "r68i1p1f1": 94| "r69i1p1f1": 94| "r6i1p1f1": 2838| "r6i1p1f2": 15| "r6i1p1f3": 49| "r6i1p2f1": 61| "r6i2p1f1": 1508| "r70i1p1f1": 94| "r71i1p1f1": 94| "r72i1p1f1": 94| "r73i1p1f1": 94| "r74i1p1f1": 94| "r75i1p1f1": 94| "r76i1p1f1": 94| "r77i1p1f1": 94| "r78i1p1f1": 94| "r79i1p1f1": 94| "r7i1p1f1": 906| "r7i1p1f2": 37| "r7i1p1f3": 49| "r7i1p2f1": 61| "r7i2p1f1": 1508| "r80i1p1f1": 94| "r81i1p1f1": 94| "r82i1p1f1": 94| "r83i1p1f1": 94| "r84i1p1f1": 94| "r85i1p1f1": 94| "r86i1p1f1": 94| "r87i1p1f1": 94| "r88i1p1f1": 94| "r89i1p1f1": 94| "r8i1p1f1": 979| "r8i1p1f2": 185| "r8i1p2f1": 61| "r8i2p1f1": 1508| "r90i1p1f1": 94| "r91i1p1f1": 94| "r92i1p1f1": 94| "r93i1p1f1": 94| "r94i1p1f1": 94| "r95i1p1f1": 94| "r96i1p1f1": 94| "r97i1p1f1": 94| "r98i1p1f1": 94| "r99i1p1f1": 94| "r9i1p1f1": 1887| "r9i1p1f2": 66| "r9i1p2f1": 61| "r9i2p1f1": 1508}
ssp370-lowNTCF,1724,no_overflow
ssp370-lowNTCFCH4,46,no_overflow
ssp370-ssp126Lu,1357,no_overflow
ssp370SST,34,no_overflow
ssp370SST-lowAer,14,no_overflow
ssp370SST-lowBC,22,no_overflow
ssp370SST-lowCH4,34,no_overflow
ssp370SST-lowNTCF,20,no_overflow
ssp370SST-ssp126Lu,22,no_overflow
ssp434,1658,no_overflow
ssp460,719,no_overflow
ssp534-over,1656,no_overflow
ssp534-over-bgc,22,no_overflow
